"Article" "Mean" "Maximum" "Total (Year)"
"Climate change" 5179 736895 15134018
"Carbon dioxide" 3281 8767 9587515
"Atmosphere of Earth" 2761 21632 8068753
"Greenhouse gas" 2708 10762 7911576
"Renewable energy" 2541 84781 7424302
"Greenhouse effect" 2041 17322 5963128
"Ozone depletion" 1603 14988 4684341
"Green New Deal" 1592 74908 4652333
"Ozone" 1480 6124 4324441
"Ozone layer" 1422 16813 4155759
"Climate of India" 1380 5634 4033565
"List of countries by carbon dioxide emissions" 1313 25686 3835681
"Climate" 1269 6752 3708914
"Highest temperature recorded on Earth" 1181 36875 3451527
"Climate change denial" 939 9184 2742732
"Sea level rise" 893 6178 2608892
"Effects of global warming" 878 11750 2565630
"Music of the Spheres World Tour" 861 13646 2516917
"Intergovernmental Panel on Climate Change" 845 14659 2469717
"Climate of Australia" 813 5939 2374492
"Lowest temperature recorded on Earth" 730 17144 2131831
"Climate of the United Kingdom" 656 34001 1915699
"List of countries by carbon dioxide emissions per capita" 653 6876 1908292
"Desert climate" 634 3654 1851285
"Semi-arid climate" 628 7344 1833583
"2021 United Nations Climate Change Conference" 622 67325 1816572
"Climate change mitigation" 582 8566 1699205
"Climate of the United States" 580 2675 1694779
"Effects of climate change" 529 3954 1547080
"Greenhouse gas emissions" 502 6002 1466027
"List of extreme temperatures in Canada" 499 21048 1458103
"Global warming potential" 482 2091 1407546
"Climate of Dubai" 475 7200 1387288
"Scientific consensus on climate change" 465 10796 1358321
"Climate of the Philippines" 456 2895 1333830
"History of climate change science" 428 27038 1250328
"Ministry of Environment, Forest and Climate Change" 387 2878 1130557
"Climate of New Zealand" 372 2507 1086044
"Climate of Delhi" 361 4359 1054923
"Extreme weather" 352 2086 1028162
"Climatic Research Unit email controversy" 351 10200 1024829
"Climate of South Africa" 343 1220 1001484
"Climate of Ireland" 319 1468 931247
"Tornado climatology" 319 9617 931713
"Climate of Iceland" 309 4547 902798
"List of countries by greenhouse gas emissions" 303 2976 886812
"Climatology" 292 2430 854176
"Climate of Pakistan" 285 5375 832181
"Carbon dioxide removal" 280 4732 818075
"Climate change adaptation" 272 2124 796239
"2015 United Nations Climate Change Conference" 271 1868 790648
"2023 United Nations Climate Change Conference" 263 27358 769266
"Climate of Italy" 263 1620 769431
"Carbon dioxide scrubber" 259 6102 757855
"List of extreme weather records in Pakistan" 258 9920 755289
"Climate of Argentina" 257 1891 751955
"Supercritical carbon dioxide" 257 846 751559
"Tipping points in the climate system" 255 7746 744992
"Climate variability and change" 253 9610 740417
"Climate of Mumbai" 246 1529 720099
"2024 United Nations Climate Change Conference" 235 21055 686533
"Geologic temperature record" 235 2887 686147
"2022 United Nations Climate Change Conference" 234 23559 683827
"Climate of Brazil" 228 1171 666544
"Climate of Russia" 227 1231 662573
"Runaway greenhouse effect" 224 1623 655552
"Microclimate" 222 2656 649519
"Climate of Spain" 210 2564 613560
"List of countries by greenhouse gas emissions per capita" 207 3586 604066
"Climate change in the United States" 203 2254 593362
"Effects of global warming on humans" 201 2467 585908
"Carbon emission trading" 200 1184 585728
"Greenhouse and icehouse Earth" 195 3839 569730
"Climate of Seoul" 193 1939 562911
"Climate justice" 190 4571 555168
"Arctic sea ice decline" 186 4727 543422
"Climate of Scotland" 185 1119 539741
"Climate of Vietnam" 185 1107 541797
"100% renewable energy" 182 3156 532496
"Climate of Egypt" 181 703 529622
"C40 Cities Climate Leadership Group" 176 3467 513368
"Climate fiction" 169 1932 493855
"Climate change in the Arctic" 166 1072 484810
"September 2019 climate strikes" 164 29469 479312
"Climate of Finland" 162 1753 474030
"Climate of Puerto Rico" 162 1771 473918
"Climate change in Australia" 161 3062 469437
"Trewartha climate classification" 160 1565 466145
"Climate of Moscow" 158 714 460974
"Deforestation and climate change" 158 1292 460344
"Climate of Mexico" 157 413 458967
"Effects of climate change on agriculture" 156 2965 457042
"2019 United Nations Climate Change Conference" 155 6804 453210
"Climate of Barcelona" 155 516 451670
"Climate of Chile" 155 1778 453678
"Climate crisis" 152 2311 443975
"Carbon-neutral fuel" 150 2353 439562
"Ministry of New and Renewable Energy" 150 1734 438015
"Climate model" 148 9569 431928
"United Nations Climate Change Conference" 148 3797 432434
"Climate of Turkey" 147 1612 429095
"Climate of Malta" 146 401 427365
"Individual action on climate change" 146 1453 425522
"Tropical cyclones and climate change" 144 5647 420324
"Climate of Tasmania" 143 643 418588
"Proxy (climate)" 142 675 414460
"Climate Change Performance Index" 141 8825 412598
"Climate of Tamil Nadu" 141 685 413405
"Effects of global warming on human health" 140 1924 408026
"IPCC Sixth Assessment Report" 139 14178 405313
"Liquid carbon dioxide" 139 2471 405323
"Climate change in India" 138 3477 403588
"List of extreme temperatures in Australia" 138 2431 402073
"Climate of Cyprus" 137 402 400078
"Climate change in Africa" 135 22831 395001
"Holocene climatic optimum" 133 5639 387677
"International Renewable Energy Agency" 132 760 385008
"IPCC Fifth Assessment Report" 132 1483 385214
"Ice cap climate" 131 1284 381338
"Climate change policy of the United States" 130 946 378795
"Effects of climate change on human health" 130 994 379981
"Tundra climate" 130 591 379047
"Renewable energy commercialization" 128 2153 372890
"Climate of Greece" 126 413 368654
"Climate change in China" 125 723 365597
"The Great Global Warming Swindle" 124 1544 362187
"Climate of Nova Scotia" 123 660 360821
"Climate sensitivity" 123 1895 358052
"Climate of West Bengal" 122 1307 356457
"Climate of Kolkata" 120 2338 351903
"Temperature record of the last 2,000 years" 120 1302 350130
"2025 United Nations Climate Change Conference" 119 8819 348429
"Climate apocalypse" 117 1202 341783
"List of periods and events in climate history" 117 1472 342475
"Climate emergency declaration" 116 3989 339233
"International Day for the Preservation of the Ozone Layer" 116 13788 339190
"Climate of Peru" 115 541 336348
"Portal:Renewable energy" 113 770 329045
"2018 United Nations Climate Change Conference" 112 2820 327371
"U.S. Special Presidential Envoy for Climate" 112 10051 326695
"Climate change in Bangladesh" 110 9141 320570
"Climate resilience" 110 1676 319985
"Climate change in Pakistan" 109 7429 318725
