"Article" "Mean" "Maximum" "Total(Year)"
"COVID-19 pandemic" 17212 261333 50293161
"Pneumonia" 6452 56391 18851473
"Crohn's disease" 6260 47818 18292699
"World Health Organization" 5819 173208 17001805
"Lyme disease" 5664 297526 16548922
"Parkinson's disease" 5375 38900 15705426
"Pandemic" 3709 517220 10839003
"Air pollution" 3608 11082 10543196
"Huntington's disease" 3532 60134 10319252
"Measles" 3492 33535 10202868
"Chronic obstructive pulmonary disease" 3033 14977 8863320
"Malaria" 3026 30251 8841215
"Addison's disease" 2560 30990 7480069
"Human papillomavirus infection" 2516 12156 7351660
"Kawasaki disease" 2211 84381 6460326
"Disease" 2088 9485 6102290
"Graves' disease" 2082 66203 6082527
"Mental disorder" 2059 23735 6016475
"Autoimmune disease" 2043 9652 5969341
"Creutzfeldt–Jakob disease" 2035 47298 5946309
"Sickle cell disease" 2012 33979 5880416
"Plague (disease)" 1862 35974 5440107
"Health care" 1792 15879 5236628
"Coronary artery disease" 1780 7109 5200109
"Cardiovascular disease" 1731 9701 5056669
"Mental health" 1713 53494 5005640
"Malnutrition" 1636 234735 4779809
"Variant Creutzfeldt–Jakob disease" 1593 12813 4655249
"Sexually transmitted infection" 1531 7018 4472608
"2009 swine flu pandemic" 1499 53293 4381466
"Legionnaires' disease" 1469 20473 4291624
"Infection" 1418 6720 4143745
"Nutrition" 1384 6368 4044001
"Lobar pneumonia" 1354 33233 3955979
"Epidemiology" 1318 12573 3852220
"Diagnostic and Statistical Manual of Mental Disorders" 1293 5283 3778454
"Charcot–Marie–Tooth disease" 1192 50529 3481986
"Public health" 1189 17073 3474567
"Occupational safety and health" 1176 7842 3435114
"SARS-CoV-2" 1057 24381 3087854
"Germ theory of disease" 1046 87835 3057410
"Epidemic" 992 25474 2899293
"List of epidemics and pandemics" 968 36048 2827558
"Chagas disease" 934 39145 2730442
"Health insurance" 914 11027 2669443
"Inflammatory bowel disease" 907 3951 2649948
"List of mental disorders" 901 7125 2633722
"Comorbidity" 894 19750 2612308
"Adult-onset Still's disease" 868 51247 2537236
"Foot-and-mouth disease" 859 6201 2509563
"Chronic kidney disease" 831 22386 2428592
"List of human disease case fatality rates" 774 94305 2262331
"Bronchopneumonia" 764 13161 2231130
"Streptococcus pneumoniae" 749 10432 2188451
"Tay–Sachs disease" 749 6810 2188863
"Universal health care" 724 12380 2114454
"Foodborne illness" 720 2166 2104292
"Nipah virus infection" 711 38186 2078982
"Single-payer healthcare" 711 8281 2077298
"Mass psychogenic illness" 669 22433 1954509
"Infant mortality" 659 56719 1924754
"List of fictional diseases" 654 2152 1909972
"Influenza pandemic" 647 39284 1890137
"Quantum suicide and immortality" 641 7352 1874323
"Cat-scratch disease" 626 6598 1828046
"Plant nutrition" 620 2101 1812825
"Pinworm infection" 598 5464 1745908
"Atypical pneumonia" 587 9459 1716671
"Pelvic inflammatory disease" 571 2407 1669174
"Eradication of infectious diseases" 565 5669 1649698
"Third plague pandemic" 563 12148 1645963
"Non-communicable disease" 561 1683 1638093
"Paget's disease of bone" 561 2808 1640641
"Health education" 556 2503 1624818
"List of countries by air pollution" 556 10795 1624010
"Healthcare in Canada" 541 2730 1581233
"Second plague pandemic" 538 8360 1571729
"Waterborne diseases" 535 20135 1563445
"Human nutrition" 531 10921 1552890
"SARS" 527 10327 1540873
"Clostridioides difficile infection" 522 2444 1526222
"Healthcare in India" 521 2596 1521840
"Disease X" 512 68881 1497462
"Degenerative disc disease" 500 36939 1460468
"Health system" 498 2764 1454721
"Maple syrup urine disease" 490 15250 1433125
"Fifth disease" 487 1443 1424208
"Aspiration pneumonia" 486 2365 1421111
"Health professional" 479 4489 1400613
"Endemic (epidemiology)" 477 7727 1392364
"Gaucher's disease" 476 6488 1389572
"Parenteral nutrition" 475 2655 1388002
"Mitochondrial disease" 469 21223 1368995
"Meningococcal disease" 464 4152 1356971
"Fabry disease" 461 11582 1347066
"Chronic Lyme disease" 454 10160 1326464
"Hospital-acquired infection" 453 1612 1325087
"Respiratory disease" 438 2468 1280595
"Native American disease and epidemics" 436 10701 1274863
"Environmental health" 434 2480 1267862
"Mental illness" 430 7661 1257552
"Philippine Health Insurance Corporation" 427 12847 1247695
"List of countries by total health expenditure per capita" 419 9001 1224187
"Measles vaccine" 419 4815 1222995
"Health belief model" 417 2429 1217939
"Malaria vaccine" 408 24124 1190837
"Prebiotic (nutrition)" 403 6215 1177661
"Face masks during the COVID-19 pandemic" 395 4183 1152764
"List of infectious diseases" 393 4465 1147530
"Community health" 392 1997 1145242
"Tanganyika laughter epidemic" 381 38150 1114324
"Lower respiratory tract infection" 374 1654 1093203
"Healthcare industry" 372 4318 1088062
"Pneumocystis pneumonia" 368 17035 1075937
"Mosquito-borne disease" 365 2680 1066363
"Hookworm infection" 361 17006 1055709
"Cerebrovascular disease" 359 2282 1048416
"Pervasive developmental disorder" 349 2699 1018811
"Batten disease" 342 4897 998465
"Postpartum infections" 341 41164 996649
"List of autoimmune diseases" 335 1196 977737
"European Health Insurance Card" 332 5328 970217
"Respiratory tract infection" 317 3180 925738
"Marburg virus disease" 313 26041 915686
"Antimalarial medication" 306 7780 894090
"Neglected tropical diseases" 301 10900 880444
"Pervasive developmental disorder not otherwise specified" 298 2846 871123
"Classification of mental disorders" 296 4830 864987
"Mental health of Jesus" 296 36558 863624
"Health economics" 295 1141 860851
"Protein–energy malnutrition" 292 1406 853364
"Primary health care" 289 1161 844489
"IgG4-related disease" 287 902 839656
"Nutrition facts label" 286 2199 835207
"Early-onset Alzheimer's disease" 285 4125 831353
"Opportunistic infection" 282 2034 824084
"Degenerative disease" 281 3898 821553
"Lifestyle disease" 281 2010 821119
"Lists of diseases" 280 1920 817045
"International Classification of Diseases" 279 1728 816475
"Noma (disease)" 276 4237 806489
"Nutritionist" 274 1057 801680
"1957–1958 influenza pandemic" 271 11407 791158
"Fungal infection" 271 5361 793263
"Krabbe disease" 271 12831 792304
"History of malaria" 269 91823 786660
"Group B streptococcal infection" 268 1235 783907
"Saprotrophic nutrition" 264 2208 771402
"Erdheim–Chester disease" 263 1946 768725
"Epidemic typhus" 262 31556 765040
"1889–1890 pandemic" 258 31333 752948
"Rare disease" 248 3367 724672
"Tick-borne disease" 242 21730 707168
"World Mental Health Day" 241 37159 704376
"Digital media use and mental health" 240 79843 702330
"Idiopathic disease" 237 2532 693171
"Health policy" 236 1984 689881
"Global health" 230 3002 670678
"Venereal Disease Research Laboratory test" 229 659 669131
"Health administration" 228 2100 666763
"Health promotion" 228 2467 665680
"Health care quality" 227 110938 662805
"Adenovirus infection" 221 4428 644910
"Health effects of wine" 220 50005 642060
"Child mortality" 216 1473 632280
"Community-acquired pneumonia" 216 2125 630940
"Viral pneumonia" 213 5273 623699
"World Health Assembly" 211 12593 617412
"List of open-source health software" 209 49524 611822
"Clinton health care plan of 1993" 208 1431 606682
"Causes of mental disorders" 205 7673 599894
"Maternal health" 205 1748 599305
"Contagious disease" 202 989 589838
"Bacterial pneumonia" 201 2814 586233
"1918 flu pandemic in India" 200 5676 583412
"Comparison of the healthcare systems in Canada and the United States" 196 4489 572170
"Lysosomal storage disease" 196 1195 573282
"Women's health" 193 941 565270
"Parasitic disease" 192 6538 559843
"Health insurance coverage in the United States" 191 1177 556813
